lambda	lc_Re	lc_Im
-467.2708585369659	0.0001727597241206372	0.0003938457215903702
-466.5867137953304	0.00014410673593245042	0.00015294225542924304
-465.90256905369495	-3.116040784629021e-05	-1.605360430678005e-05
-465.2184243120595	-0.00027473746980739876	-3.637277950085233e-05
-464.534279570424	-0.0004772092615499034	0.0001020094978101143
-463.85013482878855	-0.0005472682153519392	0.0003375912200453892
-463.1659900871531	-0.0004529606412081092	0.0005647969294045377
-462.4818453455176	-0.00023632979042145829	0.0006814136788790184
-461.79770060388216	5.252084739059922e-06	0.0006346974405510972
-461.1135558622467	0.00016277576098446792	0.0004453534140590267
-460.42941112061123	0.00016470728255923414	0.00019848917783484143
-459.74526637897577	9.394941331279552e-06	5.48979944865036e-06
-459.0611216373403	-0.000233908895655137	-4.610791902791842e-05
-458.37697689570484	-0.0004559962903258342	6.781442590787941e-05
-457.6928321540694	-0.0005567932983267354	0.00029682830062296035
-457.0086874124339	-0.0004905258012298717	0.0005384027566979916
-456.32454267079845	-0.0002865784266980206	0.000683934300635413
-455.640397929163	-3.654327522652754e-05	0.0006676988914181591
-454.9562531875275	0.0001468361339778341	0.0004966626777717862
-454.27210844589206	0.0001804236811222833	0.0002476316460785408
-453.5879637042566	4.8301110819470026e-05	3.289475311554963e-05
-452.90381896262113	-0.0001907832953026395	-5.0272362450512606e-05
